@relation winewhite
@attribute Al real [8.0E7, 1.42E8]
@attribute Ch real [90000.0, 3460000.0]
@attribute Ci real [0.0, 1.66E7]
@attribute De real [9870000.0, 1.04E7]
@attribute Fi real [3.8E7, 1.42E8]
@attribute Fr real [2.0E7, 2.89E9]
@attribute Re real [6000000.0, 6.58E8]
@attribute Su real [2200000.0, 1.08E7]
@attribute To real [9.0E7, 4.4E9]
@attribute Vo real [800000.0, 1.1E7]
@attribute Ph real [2.72E7, 3.82E7]
@attribute Qu real [3.0E7, 9.0E7]
@inputs Al, Ch, Ci, De, Fi, Fr, Re, Su, To, Vo, Ph
@outputs Qu
@data
8.8E7, 450000.0, 3600000.0, 1.0E7, 7.0E7, 4.5E8, 2.07E8, 4500000.0, 1.7E9, 2700000.0, 3.0E7, 6.0E7
9.5E7, 490000.0, 3400000.0, 9940000.0, 6.3E7, 1.4E8, 1.6E7, 4900000.0, 1.32E9, 3000000.0, 3.3E7, 6.0E7
1.01E8, 500000.0, 4000000.0, 9950000.0, 8.1E7, 3.0E8, 6.9E7, 4400000.0, 9.7E8, 2800000.0, 3.26E7, 6.0E7
9.9E7, 580000.0, 3200000.0, 9960000.0, 7.2E7, 4.7E8, 8.5E7, 4000000.0, 1.86E9, 2300000.0, 3.19E7, 6.0E7
9.9E7, 580000.0, 3200000.0, 9960000.0, 7.2E7, 4.7E8, 8.5E7, 4000000.0, 1.86E9, 2300000.0, 3.19E7, 6.0E7
1.01E8, 500000.0, 4000000.0, 9950000.0, 8.1E7, 3.0E8, 6.9E7, 4400000.0, 9.7E8, 2800000.0, 3.26E7, 6.0E7
9.6E7, 450000.0, 1600000.0, 9950000.0, 6.2E7, 3.0E8, 7.0E7, 4700000.0, 1.36E9, 3200000.0, 3.18E7, 6.0E7
8.8E7, 450000.0, 3600000.0, 1.0E7, 7.0E7, 4.5E8, 2.07E8, 4500000.0, 1.7E9, 2700000.0, 3.0E7, 6.0E7
9.5E7, 490000.0, 3400000.0, 9940000.0, 6.3E7, 1.4E8, 1.6E7, 4900000.0, 1.32E9, 3000000.0, 3.3E7, 6.0E7
1.1E8, 440000.0, 4300000.0, 9940000.0, 8.1E7, 2.8E8, 1.5E7, 4500000.0, 1.29E9, 2200000.0, 3.22E7, 6.0E7
1.2E8, 330000.0, 4100000.0, 9910000.0, 8.1E7, 1.1E8, 1.45E7, 5600000.0, 6.3E8, 2700000.0, 2.99E7, 5.0E7
9.7E7, 350000.0, 4000000.0, 9950000.0, 8.6E7, 1.7E8, 4.2E7, 5300000.0, 1.09E9, 2300000.0, 3.14E7, 5.0E7
1.08E8, 400000.0, 3700000.0, 9920000.0, 7.9E7, 1.6E8, 1.2E7, 6300000.0, 7.5E8, 1800000.0, 3.18E7, 5.0E7
9.7E7, 400000.0, 6200000.0, 1.0E7, 8.3E7, 4.1E8, 1.93E8, 6700000.0, 1.72E9, 4200000.0, 2.98E7, 5.0E7
1.14E8, 320000.0, 3800000.0, 9910000.0, 6.6E7, 2.8E8, 1.5E7, 5500000.0, 1.12E9, 1700000.0, 3.25E7, 7.0E7
9.6E7, 460000.0, 400000.0, 9930000.0, 6.3E7, 3.0E8, 1.1E7, 3600000.0, 9.9E8, 4800000.0, 3.24E7, 6.0E7
1.28E8, 290000.0, 4800000.0, 9890000.0, 6.2E7, 2.9E8, 1.2E7, 3900000.0, 7.5E8, 6600000.0, 3.33E7, 8.0E7
1.13E8, 330000.0, 4200000.0, 9920000.0, 7.4E7, 1.7E8, 1.1E7, 5300000.0, 1.71E9, 3400000.0, 3.12E7, 6.0E7
9.5E7, 440000.0, 1400000.0, 9960000.0, 6.5E7, 3.4E8, 7.5E7, 5000000.0, 1.33E9, 3100000.0, 3.22E7, 5.0E7
1.1E8, 380000.0, 3800000.0, 9910000.0, 6.4E7, 1.9E8, 2.9E7, 3500000.0, 1.02E9, 3100000.0, 3.17E7, 7.0E7
9.3E7, 740000.0, 1400000.0, 9940000.0, 7.6E7, 2.5E8, 1.5E7, 5100000.0, 1.68E9, 6700000.0, 3.05E7, 5.0E7
