DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.00 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79281 || R2pers = 0.76403 || Elapsed time = 18.02
DATAS= 1 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.00 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79866 || R2pers = 0.76403 || Elapsed time = 15.22
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.00 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79455 || R2pers = 0.76403 || Elapsed time = 14.20
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.00 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79369 || R2pers = 0.76403 || Elapsed time = 17.07
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.10 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79398 || R2pers = 0.76403 || Elapsed time = 34.42
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.20 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79311 || R2pers = 0.76403 || Elapsed time = 52.28
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.30 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79152 || R2pers = 0.76403 || Elapsed time = 69.51
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.40 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79097 || R2pers = 0.76403 || Elapsed time = 86.91
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.50 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.78965 || R2pers = 0.76403 || Elapsed time = 104.65
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.60 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.79002 || R2pers = 0.76403 || Elapsed time = 122.16
DATAS= 0 || LAG= 6 || AHEAD= 1 || RNN= LSTM || NLAY= 1 || NNEUR= 32 || DROP= 0.70 || ACT= tanh || RACT= hard_sigmoid || OPT= adam || R2Test = 0.78919 || R2pers = 0.76403 || Elapsed time = 140.07
